Name,Team,Age,PA,OBP,SLG,OPS,wOBA,ISO,BB%,K%,HR,RBI,SB,Def,WAR,All_Star,Year
Ben Zobrist,TBR,28,599,0.405,0.543,0.948,0.407,0.246,0.152,0.174,27,91,17,22.3,8.7,0,2009
Albert Pujols,STL,29,700,0.443,0.658,1.101,0.447,0.331,0.16399999999999998,0.091,47,135,16,-8.8,8.4,1,2009
Joe Mauer,MIN,26,606,0.444,0.587,1.031,0.438,0.222,0.125,0.10400000000000001,28,96,4,11.3,8.3,1,2009
Chase Utley,PHI,30,687,0.397,0.508,0.905,0.394,0.226,0.128,0.16,31,93,23,13.4,8.2,1,2009
Evan Longoria,TBR,23,671,0.364,0.526,0.889,0.377,0.245,0.107,0.209,33,113,9,21.6,7.2,1,2009
Hanley Ramirez,FLA,25,652,0.41,0.543,0.954,0.407,0.201,0.094,0.155,24,106,27,6.2,7.1,1,2009
Derek Jeter,NYY,35,716,0.406,0.465,0.871,0.385,0.131,0.10099999999999999,0.126,18,66,30,12.2,6.7,1,2009
Ryan Zimmerman,WSN,24,694,0.364,0.525,0.888,0.377,0.233,0.10400000000000001,0.171,33,106,2,14.1,6.6,0,2009
Chone Figgins,LAA,31,729,0.395,0.393,0.789,0.357,0.096,0.139,0.156,5,54,42,18.5,6.6,0,2009
Franklin Gutierrez,SEA,26,629,0.339,0.425,0.764,0.335,0.142,0.073,0.19399999999999998,18,70,16,33.4,6.1,0,2009
Brian McCann,ATL,25,551,0.349,0.486,0.834,0.359,0.205,0.08900000000000001,0.151,21,94,4,34.4,6.0,1,2009
Prince Fielder,MIL,25,719,0.412,0.602,1.014,0.422,0.303,0.153,0.192,46,141,2,-12.1,5.9,0,2009
Kevin Youkilis,BOS,30,588,0.413,0.548,0.961,0.413,0.242,0.131,0.213,27,94,7,1.9,5.9,0,2009
Carl Crawford,TBR,27,672,0.364,0.452,0.816,0.358,0.147,0.076,0.147,15,68,60,10.9,5.9,1,2009
Adrian Gonzalez,SDP,27,681,0.407,0.551,0.958,0.404,0.274,0.175,0.16,40,99,1,-5.1,5.8,1,2009
Ichiro Suzuki,SEA,35,678,0.386,0.465,0.851,0.367,0.113,0.047,0.105,11,46,26,2.1,5.5,1,2009
Matt Holliday,- - -,29,670,0.394,0.515,0.909,0.391,0.201,0.107,0.151,24,109,14,-3.3,5.4,1,2009
Troy Tulowitzki,COL,24,628,0.377,0.552,0.93,0.395,0.256,0.11599999999999999,0.17800000000000002,32,92,20,9.7,5.3,0,2009
Jason Bartlett,TBR,29,567,0.389,0.49,0.879,0.383,0.17,0.095,0.157,14,66,30,0.2,5.3,1,2009
Derrek Lee,CHC,33,615,0.393,0.579,0.972,0.413,0.273,0.124,0.177,35,111,1,-4.4,5.2,0,2009
Mark Teixeira,NYY,29,707,0.383,0.565,0.948,0.402,0.273,0.115,0.161,39,122,2,-11.0,5.2,1,2009
Pablo Sandoval,SFG,22,633,0.387,0.556,0.943,0.399,0.226,0.08199999999999999,0.131,25,90,5,-4.4,5.2,0,2009
Shin-Soo Choo,CLE,26,685,0.394,0.489,0.883,0.384,0.189,0.114,0.22,20,86,21,-8.7,5.1,0,2009
Miguel Cabrera,DET,26,685,0.396,0.547,0.942,0.402,0.223,0.099,0.156,34,103,6,-6.7,5.0,0,2009
Ryan Braun,MIL,25,708,0.386,0.551,0.937,0.403,0.231,0.081,0.171,32,114,20,-20.8,5.0,1,2009
J.D. Drew,BOS,33,539,0.392,0.522,0.914,0.394,0.243,0.152,0.20199999999999999,24,68,2,5.4,4.9,0,2009
Justin Upton,ARI,21,588,0.366,0.532,0.899,0.385,0.232,0.094,0.233,26,86,20,1.6,4.9,0,2009
Matt Kemp,LAD,24,667,0.352,0.49,0.842,0.362,0.193,0.078,0.20800000000000002,26,101,34,5.1,4.9,0,2009
Miguel Montero,ARI,25,470,0.355,0.478,0.832,0.359,0.184,0.081,0.166,16,59,1,25.1,4.8,0,2009
Nyjer Morgan,- - -,28,533,0.369,0.388,0.757,0.338,0.081,0.075,0.139,3,39,42,25.9,4.8,0,2009
Jayson Werth,PHI,30,676,0.373,0.506,0.879,0.378,0.238,0.135,0.231,36,99,20,-2.5,4.7,0,2009
Dustin Pedroia,BOS,25,714,0.371,0.447,0.819,0.359,0.152,0.10400000000000001,0.063,15,72,20,10.7,4.7,1,2009
Michael Bourn,HOU,26,678,0.354,0.384,0.738,0.33,0.099,0.09300000000000001,0.20600000000000002,3,35,61,12.4,4.7,0,2009
Joey Votto,CIN,25,544,0.414,0.567,0.981,0.418,0.245,0.129,0.195,25,84,4,-10.4,4.6,0,2009
Jason Bay,BOS,30,638,0.384,0.537,0.921,0.395,0.269,0.147,0.254,36,119,13,-6.0,4.6,0,2009
Ian Kinsler,TEX,27,640,0.327,0.488,0.814,0.351,0.235,0.092,0.12,31,86,31,12.2,4.6,0,2009
Yadier Molina,STL,26,544,0.366,0.383,0.749,0.336,0.089,0.092,0.07200000000000001,6,54,9,32.5,4.6,1,2009
Casey Blake,LAD,35,565,0.363,0.468,0.832,0.357,0.188,0.11199999999999999,0.205,18,79,3,13.2,4.5,0,2009
Ryan Howard,PHI,29,703,0.36,0.571,0.931,0.392,0.292,0.107,0.265,45,141,8,-11.5,4.4,0,2009
Marco Scutaro,TOR,33,680,0.379,0.409,0.789,0.353,0.127,0.132,0.11,12,60,14,5.7,4.2,0,2009
Alex Rodriguez,NYY,33,535,0.402,0.532,0.933,0.401,0.245,0.15,0.18100000000000002,30,100,14,-6.3,4.1,0,2009
Scott Rolen,- - -,34,535,0.368,0.455,0.823,0.36,0.149,0.084,0.11599999999999999,11,67,5,6.0,4.1,0,2009
Denard Span,MIN,25,676,0.392,0.415,0.807,0.359,0.104,0.10400000000000001,0.132,8,68,23,-5.0,4.1,0,2009
Mike Cameron,MIL,36,628,0.342,0.452,0.795,0.346,0.202,0.11900000000000001,0.248,24,70,7,13.7,4.1,0,2009
Aaron Hill,TOR,27,734,0.33,0.499,0.829,0.357,0.213,0.057,0.134,36,108,6,-2.8,4.0,0,2009
Yunel Escobar,ATL,26,604,0.377,0.436,0.812,0.36,0.136,0.094,0.10300000000000001,14,76,5,7.8,3.9,0,2009
Torii Hunter,LAA,33,506,0.366,0.508,0.873,0.375,0.208,0.09300000000000001,0.182,22,90,18,-0.1,3.8,1,2009
Erick Aybar,LAA,25,556,0.353,0.423,0.776,0.34,0.111,0.054000000000000006,0.09699999999999999,5,58,14,11.2,3.8,0,2009
Ryan Sweeney,OAK,24,534,0.348,0.407,0.755,0.333,0.114,0.075,0.125,6,53,6,18.1,3.8,0,2009
Kendrys Morales,LAA,26,622,0.355,0.569,0.924,0.387,0.263,0.07400000000000001,0.188,34,108,3,-5.3,3.7,0,2009
Robinson Cano,NYY,26,674,0.352,0.52,0.871,0.374,0.199,0.045,0.09300000000000001,25,85,5,-0.4,3.7,0,2009
Johnny Damon,NYY,35,626,0.365,0.489,0.854,0.372,0.207,0.113,0.157,24,82,12,-10.4,3.6,0,2009
Felipe Lopez,- - -,29,680,0.383,0.427,0.81,0.359,0.118,0.10400000000000001,0.147,9,57,6,2.8,3.6,0,2009
David DeJesus,KCR,29,627,0.347,0.434,0.781,0.343,0.152,0.081,0.139,13,71,4,10.2,3.6,0,2009
Gregg Zaun,- - -,38,296,0.345,0.416,0.761,0.338,0.156,0.105,0.162,8,27,0,25.8,3.6,0,2009
Russell Martin,LAD,26,588,0.352,0.329,0.68,0.309,0.079,0.11699999999999999,0.136,7,53,11,30.2,3.6,0,2009
Brian Roberts,BAL,31,717,0.356,0.451,0.807,0.352,0.168,0.10300000000000001,0.156,16,79,30,-0.6,3.5,0,2009
Rajai Davis,OAK,28,432,0.36,0.423,0.784,0.346,0.118,0.067,0.162,3,48,41,7.9,3.5,0,2009
Raul Ibanez,PHI,37,565,0.347,0.552,0.899,0.378,0.28,0.099,0.21100000000000002,34,93,4,-3.3,3.4,0,2009
Andrew McCutchen,PIT,22,493,0.365,0.471,0.836,0.363,0.185,0.11,0.168,12,54,22,0.4,3.4,0,2009
Shane Victorino,PHI,28,694,0.358,0.445,0.803,0.352,0.153,0.086,0.102,10,62,25,-3.9,3.4,0,2009
Adam Lind,TOR,25,654,0.37,0.562,0.932,0.396,0.257,0.08900000000000001,0.168,35,114,1,-22.4,3.3,0,2009
Mark Reynolds,ARI,25,662,0.349,0.543,0.892,0.381,0.284,0.115,0.337,44,102,24,-11.9,3.3,0,2009
Justin Morneau,MIN,28,590,0.363,0.516,0.878,0.372,0.242,0.122,0.146,30,100,0,-7.0,3.3,1,2009
