Name,Team,Age,PA,OBP,SLG,OPS,wOBA,ISO,BB%,K%,HR,RBI,SB,Def,WAR,All_Star,Year
Howie Kendrick,LAA,23,353,0.347,0.45,0.796,0.346,0.127,0.025,0.17300000000000001,5,39,5,8.0,2.3,0,2007
Michael Cuddyer,MIN,28,623,0.356,0.433,0.79,0.348,0.157,0.10300000000000001,0.172,16,81,5,-4.7,2.3,0,2007
Ronnie Belliard,WSN,32,557,0.332,0.427,0.759,0.331,0.137,0.061,0.129,11,58,3,3.3,2.3,0,2007
Norris Hopper,CIN,28,335,0.371,0.388,0.758,0.339,0.059,0.06,0.099,0,14,14,12.6,2.3,0,2007
Pedro Feliz,SFG,32,590,0.29,0.418,0.708,0.306,0.165,0.049,0.11900000000000001,20,72,2,25.7,2.3,0,2007
Jeremy Hermida,FLA,23,484,0.369,0.501,0.87,0.376,0.205,0.09699999999999999,0.217,18,63,3,-5.8,2.2,0,2007
Travis Buck,OAK,23,334,0.377,0.474,0.85,0.369,0.186,0.11699999999999999,0.198,7,34,4,-0.4,2.2,0,2007
Travis Hafner,CLE,30,661,0.385,0.451,0.837,0.362,0.185,0.154,0.174,24,100,1,-15.0,2.2,0,2007
Justin Morneau,MIN,26,668,0.343,0.492,0.834,0.353,0.22,0.096,0.136,31,111,1,-9.8,2.2,1,2007
Jose Guillen,SEA,31,659,0.353,0.46,0.813,0.355,0.17,0.062,0.179,23,99,5,-12.8,2.2,0,2007
Alex Gonzalez,CIN,30,430,0.325,0.468,0.793,0.342,0.196,0.055999999999999994,0.174,16,55,0,9.4,2.2,0,2007
Kevin Kouzmanoff,SDP,25,534,0.329,0.457,0.786,0.339,0.182,0.06,0.17600000000000002,18,74,1,-0.8,2.2,0,2007
Melvin Mora,BAL,35,527,0.341,0.418,0.759,0.332,0.143,0.08900000000000001,0.157,14,58,9,8.4,2.2,0,2007
Alex Gordon,KCR,23,601,0.314,0.411,0.725,0.316,0.164,0.068,0.228,15,60,14,8.9,2.2,0,2007
David DeJesus,KCR,27,703,0.351,0.372,0.722,0.323,0.112,0.091,0.11800000000000001,7,58,10,2.3,2.2,0,2007
Milton Bradley,- - -,29,244,0.402,0.545,0.947,0.405,0.239,0.127,0.168,13,37,5,-2.2,2.1,0,2007
Garrett Atkins,COL,27,684,0.367,0.486,0.853,0.368,0.185,0.098,0.14,25,111,3,-11.6,2.1,0,2007
Ryan Ludwick,STL,28,339,0.339,0.479,0.818,0.355,0.211,0.077,0.212,14,52,4,4.2,2.1,0,2007
Ryan Doumit,PIT,26,279,0.341,0.472,0.813,0.351,0.198,0.079,0.21100000000000002,9,32,1,9.1,2.1,0,2007
Michael Young,TEX,30,692,0.366,0.418,0.783,0.346,0.103,0.068,0.155,9,94,13,-4.9,2.1,0,2007
Jeff Keppinger,CIN,27,276,0.4,0.477,0.877,0.386,0.145,0.087,0.043,5,32,2,2.4,2.0,0,2007
J.D. Drew,BOS,31,552,0.373,0.423,0.796,0.347,0.152,0.14300000000000002,0.18100000000000002,11,64,4,-5.3,2.0,0,2007
Alfredo Amezaga,FLA,29,448,0.324,0.358,0.682,0.305,0.095,0.078,0.11599999999999999,2,30,13,17.2,2.0,0,2007
Omar Vizquel,SFG,40,575,0.305,0.316,0.621,0.277,0.07,0.077,0.083,4,51,14,30.2,2.0,0,2007
Moises Alou,NYM,40,360,0.392,0.524,0.916,0.392,0.183,0.075,0.083,13,49,3,-6.7,1.9,0,2007
Adam LaRoche,PIT,27,632,0.345,0.458,0.803,0.348,0.187,0.098,0.207,21,88,1,-4.7,1.9,0,2007
Miguel Tejada,BAL,33,569,0.357,0.442,0.799,0.346,0.146,0.07200000000000001,0.09699999999999999,18,81,2,0.6,1.9,0,2007
Mike Cameron,SDP,34,651,0.328,0.431,0.759,0.333,0.189,0.10300000000000001,0.24600000000000002,21,78,18,-12.1,1.9,0,2007
Maicer Izturis,LAA,26,374,0.349,0.405,0.753,0.332,0.116,0.08800000000000001,0.10400000000000001,6,51,7,4.0,1.9,0,2007
James Loney,LAD,23,375,0.381,0.538,0.919,0.392,0.206,0.075,0.128,15,67,0,-11.0,1.8,0,2007
Frank Thomas,TOR,39,624,0.377,0.48,0.857,0.373,0.203,0.13,0.151,26,95,0,-15.9,1.8,0,2007
Mark Reynolds,ARI,23,414,0.349,0.495,0.843,0.36,0.216,0.08900000000000001,0.312,17,62,0,-1.5,1.8,0,2007
Josh Willingham,FLA,28,604,0.364,0.463,0.827,0.363,0.198,0.109,0.20199999999999999,21,89,8,-15.7,1.8,0,2007
Mike Lamb,HOU,31,353,0.366,0.453,0.82,0.356,0.164,0.102,0.127,11,40,0,-1.1,1.8,0,2007
Franklin Gutierrez,CLE,24,301,0.318,0.472,0.79,0.338,0.207,0.07,0.256,13,36,8,4.8,1.8,0,2007
Vernon Wells,TOR,28,642,0.304,0.402,0.706,0.307,0.158,0.076,0.139,16,80,10,7.1,1.8,0,2007
Chris Duncan,STL,26,432,0.354,0.48,0.834,0.361,0.221,0.127,0.285,21,70,2,-10.0,1.7,0,2007
Jhonny Peralta,CLE,25,647,0.341,0.43,0.771,0.337,0.16,0.094,0.226,21,72,4,-5.6,1.7,0,2007
Brandon Inge,DET,30,577,0.312,0.376,0.688,0.303,0.14,0.081,0.26,14,71,9,12.5,1.7,0,2007
Matt Kemp,LAD,22,311,0.373,0.521,0.894,0.385,0.178,0.051,0.212,10,42,10,-8.0,1.6,0,2007
Ryan Spilborghs,COL,27,300,0.363,0.485,0.848,0.366,0.186,0.09300000000000001,0.15,11,51,4,1.6,1.6,0,2007
Andre Ethier,LAD,25,507,0.35,0.452,0.802,0.341,0.168,0.091,0.134,13,64,0,-2.9,1.6,0,2007
Chris Snyder,ARI,26,380,0.342,0.433,0.775,0.338,0.181,0.105,0.17600000000000002,13,47,0,9.6,1.6,0,2007
Tadahito Iguchi,- - -,32,533,0.347,0.4,0.747,0.331,0.133,0.107,0.165,9,43,14,-2.2,1.6,0,2007
