Name,Team,Age,PA,OBP,SLG,OPS,wOBA,ISO,BB%,K%,HR,RBI,SB,Def,WAR,All_Star,Year
Mike Trout,LAA,20,639,0.399,0.564,0.963,0.409,0.238,0.105,0.218,30,83,49,10.2,10.1,1,2012
Buster Posey,SFG,25,610,0.408,0.549,0.957,0.406,0.213,0.113,0.157,24,103,1,32.8,9.8,1,2012
Yadier Molina,STL,29,563,0.373,0.501,0.874,0.375,0.186,0.08,0.098,22,76,12,33.5,7.5,0,2012
Miguel Cabrera,DET,29,697,0.393,0.606,0.999,0.417,0.277,0.095,0.141,44,139,4,-0.1,7.3,0,2012
Andrew McCutchen,PIT,25,673,0.4,0.553,0.953,0.403,0.226,0.10400000000000001,0.196,31,96,20,-0.9,7.3,0,2012
Robinson Cano,NYY,29,697,0.379,0.55,0.929,0.394,0.238,0.08800000000000001,0.138,33,94,3,9.9,7.3,1,2012
Chase Headley,SDP,28,699,0.376,0.498,0.875,0.378,0.212,0.12300000000000001,0.225,31,115,17,7.5,7.2,0,2012
Ryan Braun,MIL,28,677,0.391,0.595,0.987,0.413,0.276,0.09300000000000001,0.18899999999999997,41,112,30,-6.2,6.8,1,2012
David Wright,NYM,29,670,0.391,0.492,0.883,0.376,0.186,0.121,0.16699999999999998,21,93,15,10.3,6.6,0,2012
Adrian Beltre,TEX,33,654,0.359,0.561,0.921,0.388,0.24,0.055,0.125,36,102,1,7.0,6.3,1,2012
Ben Zobrist,TBR,31,668,0.377,0.471,0.848,0.365,0.202,0.145,0.154,20,74,14,7.1,5.7,0,2012
Jonathan Lucroy,MIL,26,346,0.368,0.513,0.881,0.378,0.193,0.064,0.127,12,58,4,28.7,5.6,0,2012
Aramis Ramirez,MIL,34,630,0.36,0.54,0.901,0.384,0.24,0.07,0.13,27,105,9,6.4,5.4,0,2012
Miguel Montero,ARI,28,573,0.391,0.438,0.829,0.364,0.152,0.127,0.22699999999999998,15,88,0,23.1,5.4,0,2012
Joey Votto,CIN,28,475,0.474,0.567,1.041,0.438,0.23,0.198,0.179,14,56,5,-5.3,5.3,1,2012
Jason Heyward,ATL,22,651,0.335,0.479,0.814,0.351,0.21,0.08900000000000001,0.233,27,82,21,4.9,5.3,0,2012
Michael Bourn,ATL,29,703,0.348,0.391,0.739,0.326,0.117,0.1,0.22,9,57,42,18.2,5.3,0,2012
Giancarlo Stanton,MIA,22,501,0.361,0.608,0.969,0.405,0.318,0.092,0.285,37,86,6,-0.8,5.1,1,2012
Austin Jackson,DET,25,617,0.377,0.479,0.856,0.371,0.179,0.109,0.217,16,66,12,2.7,5.1,0,2012
Prince Fielder,DET,28,690,0.412,0.528,0.94,0.398,0.215,0.12300000000000001,0.122,30,108,1,-10.2,5.0,1,2012
Aaron Hill,ARI,30,668,0.36,0.522,0.882,0.375,0.22,0.078,0.129,26,85,14,1.0,5.0,0,2012
Alex Gordon,KCR,28,721,0.368,0.455,0.822,0.357,0.16,0.10099999999999999,0.19399999999999998,14,72,10,2.2,5.0,0,2012
Josh Hamilton,TEX,31,636,0.354,0.577,0.93,0.387,0.292,0.094,0.255,43,128,7,-10.6,4.8,1,2012
Torii Hunter,LAA,36,584,0.365,0.451,0.817,0.356,0.139,0.065,0.228,16,92,9,0.3,4.7,0,2012
Jimmy Rollins,PHI,33,699,0.316,0.427,0.743,0.322,0.177,0.08900000000000001,0.13699999999999998,23,68,30,15.0,4.7,0,2012
Edwin Encarnacion,TOR,29,644,0.384,0.557,0.941,0.396,0.277,0.13,0.146,42,110,13,-18.8,4.6,0,2012
Matt Holliday,STL,32,688,0.379,0.497,0.877,0.378,0.202,0.109,0.192,27,102,4,-9.8,4.6,0,2012
Joe Mauer,MIN,29,641,0.416,0.446,0.861,0.376,0.127,0.14,0.13699999999999998,10,85,8,-4.7,4.6,1,2012
Angel Pagan,SFG,30,659,0.338,0.44,0.778,0.334,0.152,0.073,0.147,8,56,29,2.7,4.6,0,2012
Carlos Ruiz,PHI,33,421,0.394,0.54,0.935,0.398,0.215,0.069,0.11900000000000001,16,68,4,3.6,4.5,0,2012
Melky Cabrera,SFG,27,501,0.39,0.516,0.906,0.387,0.17,0.07200000000000001,0.126,11,60,13,-5.6,4.5,0,2012
Martin Prado,ATL,28,690,0.359,0.438,0.796,0.345,0.136,0.084,0.1,10,70,17,7.0,4.5,0,2012
Adam Jones,BAL,26,697,0.334,0.505,0.839,0.361,0.218,0.049,0.18100000000000002,32,82,16,-3.6,4.4,0,2012
Bryce Harper,WSN,19,597,0.34,0.477,0.817,0.352,0.206,0.094,0.201,22,59,18,6.7,4.4,0,2012
