Name,Team,Age,PA,OBP,SLG,OPS,wOBA,ISO,BB%,K%,HR,RBI,SB,Def,WAR,All_Star,Year
Josh Hamilton,TEX,29,571,0.411,0.633,1.044,0.445,0.274,0.075,0.166,32,100,8,5.9,8.4,1,2010
Carl Crawford,TBR,28,663,0.356,0.495,0.851,0.369,0.188,0.069,0.157,19,90,47,11.1,7.7,1,2010
Evan Longoria,TBR,24,661,0.372,0.507,0.879,0.376,0.213,0.109,0.188,22,104,15,14.4,7.5,1,2010
Joey Votto,CIN,26,648,0.424,0.6,1.024,0.438,0.276,0.14,0.193,37,113,16,-10.1,6.9,0,2010
Albert Pujols,STL,30,700,0.414,0.596,1.011,0.419,0.284,0.147,0.109,42,118,14,-10.0,6.8,1,2010
Ryan Zimmerman,WSN,25,603,0.388,0.51,0.899,0.39,0.204,0.114,0.163,25,85,4,15.8,6.6,0,2010
Jose Bautista,TOR,29,683,0.378,0.617,0.995,0.422,0.357,0.146,0.17,54,124,9,-12.8,6.5,0,2010
Adrian Beltre,BOS,31,641,0.365,0.553,0.919,0.391,0.233,0.062,0.128,28,102,2,12.7,6.4,0,2010
Robinson Cano,NYY,27,696,0.381,0.534,0.914,0.391,0.214,0.08199999999999999,0.111,29,109,3,1.7,6.4,1,2010
Andres Torres,SFG,32,570,0.343,0.479,0.823,0.358,0.211,0.098,0.225,16,63,26,20.4,6.3,0,2010
Matt Holliday,STL,30,675,0.39,0.532,0.922,0.397,0.22,0.102,0.138,28,103,9,0.3,6.2,1,2010
Brett Gardner,NYY,26,569,0.383,0.379,0.762,0.346,0.103,0.139,0.17800000000000002,5,47,47,20.5,6.1,0,2010
Miguel Cabrera,DET,27,648,0.42,0.622,1.042,0.431,0.294,0.13699999999999998,0.147,38,126,3,-16.4,6.0,1,2010
Shin-Soo Choo,CLE,27,646,0.401,0.484,0.885,0.386,0.184,0.128,0.183,22,90,22,-0.3,6.0,0,2010
Rickie Weeks Jr.,MIL,27,754,0.366,0.464,0.83,0.368,0.195,0.10099999999999999,0.244,29,83,11,3.7,6.0,0,2010
Brian McCann,ATL,26,566,0.375,0.453,0.828,0.362,0.184,0.131,0.17300000000000001,21,77,5,30.8,6.0,1,2010
Carlos Gonzalez,COL,24,636,0.376,0.598,0.974,0.413,0.262,0.063,0.212,34,117,26,-4.7,5.7,0,2010
Aubrey Huff,SFG,33,668,0.385,0.506,0.891,0.387,0.216,0.124,0.136,26,86,7,-1.3,5.7,0,2010
Joe Mauer,MIN,27,584,0.402,0.469,0.871,0.377,0.141,0.111,0.091,9,75,1,10.3,5.7,1,2010
Troy Tulowitzki,COL,25,529,0.381,0.568,0.949,0.406,0.253,0.091,0.147,27,95,11,12.1,5.5,0,2010
Kelly Johnson,ARI,28,671,0.37,0.496,0.865,0.378,0.212,0.11800000000000001,0.221,26,71,13,9.5,5.3,0,2010
Chase Utley,PHI,31,511,0.387,0.445,0.832,0.37,0.169,0.12300000000000001,0.12300000000000001,16,65,13,12.1,5.3,1,2010
Jayson Werth,PHI,31,652,0.388,0.532,0.921,0.396,0.236,0.126,0.225,27,85,13,-12.7,5.1,0,2010
Jay Bruce,CIN,23,573,0.353,0.493,0.846,0.365,0.212,0.10099999999999999,0.237,25,70,5,13.4,5.1,0,2010
Daric Barton,OAK,24,686,0.393,0.405,0.798,0.36,0.131,0.16,0.149,10,57,7,0.4,5.0,0,2010
Justin Morneau,MIN,29,348,0.437,0.618,1.055,0.448,0.274,0.14400000000000002,0.17800000000000002,18,56,0,2.7,4.9,0,2010
Nelson Cruz,TEX,29,445,0.374,0.576,0.95,0.404,0.258,0.085,0.182,22,78,17,5.3,4.9,0,2010
Angel Pagan,NYM,28,633,0.34,0.425,0.765,0.334,0.135,0.07,0.153,11,69,37,15.0,4.9,0,2010
Stephen Drew,ARI,27,633,0.352,0.458,0.81,0.355,0.181,0.098,0.171,15,61,10,15.4,4.8,0,2010
Jason Heyward,ATL,20,623,0.393,0.456,0.849,0.377,0.179,0.146,0.205,18,72,11,-1.0,4.7,1,2010
Ichiro Suzuki,SEA,36,732,0.359,0.394,0.754,0.331,0.079,0.061,0.11699999999999999,6,43,42,6.6,4.7,1,2010
Dan Uggla,FLA,30,674,0.369,0.508,0.877,0.382,0.221,0.11599999999999999,0.221,33,105,4,-4.5,4.6,1,2010
Scott Rolen,CIN,35,537,0.358,0.497,0.854,0.369,0.212,0.09300000000000001,0.153,20,83,1,11.8,4.6,0,2010
Adrian Gonzalez,SDP,28,693,0.393,0.511,0.904,0.379,0.213,0.134,0.165,31,101,0,-12.2,4.4,0,2010
Nick Swisher,NYY,29,635,0.359,0.511,0.87,0.379,0.223,0.091,0.21899999999999997,29,89,1,-4.5,4.4,0,2010
Michael Bourn,HOU,27,605,0.341,0.346,0.686,0.308,0.08,0.098,0.18,2,38,52,21.8,4.4,0,2010
Yadier Molina,STL,27,521,0.329,0.342,0.671,0.3,0.08,0.081,0.098,6,62,8,42.1,4.4,1,2010
Chase Headley,SDP,26,674,0.327,0.375,0.702,0.313,0.111,0.083,0.20600000000000002,11,58,17,19.0,4.3,0,2010
Kevin Youkilis,BOS,31,435,0.411,0.564,0.975,0.419,0.257,0.133,0.154,19,62,4,-6.3,4.2,0,2010
Hanley Ramirez,FLA,26,619,0.378,0.475,0.853,0.369,0.175,0.10300000000000001,0.15,21,76,32,-3.2,4.2,1,2010
Chris Young,ARI,26,664,0.341,0.452,0.793,0.35,0.195,0.111,0.218,27,91,28,6.3,4.2,0,2010
Rafael Furcal,LAD,32,428,0.366,0.46,0.826,0.359,0.159,0.09300000000000001,0.14,8,43,22,8.4,4.1,0,2010
Austin Jackson,DET,23,675,0.345,0.4,0.745,0.329,0.107,0.07,0.252,4,41,27,7.5,4.1,0,2010
Alexei Ramirez,CHW,28,626,0.313,0.431,0.744,0.324,0.149,0.043,0.131,18,70,13,17.6,4.1,0,2010
Colby Rasmus,STL,23,534,0.361,0.498,0.859,0.369,0.222,0.11800000000000001,0.27699999999999997,23,66,12,-4.1,4.0,0,2010
Alex Rodriguez,NYY,34,595,0.341,0.506,0.847,0.365,0.236,0.099,0.165,30,125,4,-0.1,4.0,1,2010
Buster Posey,SFG,23,443,0.357,0.505,0.862,0.371,0.2,0.068,0.124,18,67,0,7.4,3.9,0,2010
Curtis Granderson,NYY,29,528,0.324,0.468,0.792,0.344,0.221,0.1,0.22,24,67,12,9.2,3.9,0,2010
Marlon Byrd,CHC,32,630,0.346,0.429,0.775,0.343,0.136,0.049,0.156,12,66,5,12.2,3.9,0,2010
Melvin Upton Jr.,TBR,25,610,0.322,0.424,0.745,0.328,0.187,0.11,0.26899999999999996,18,62,42,2.8,3.9,0,2010
Geovany Soto,CHC,27,387,0.393,0.497,0.89,0.387,0.217,0.16,0.214,17,53,0,11.2,3.8,0,2010
Martin Prado,ATL,26,651,0.35,0.459,0.809,0.353,0.152,0.061,0.132,15,66,5,-1.2,3.8,0,2010
Brandon Phillips,CIN,29,687,0.332,0.43,0.762,0.336,0.155,0.067,0.121,18,59,16,10.4,3.8,0,2010
Ben Zobrist,TBR,29,655,0.346,0.353,0.699,0.317,0.115,0.14,0.163,10,75,24,7.4,3.8,0,2010
Ryan Braun,MIL,26,685,0.365,0.501,0.866,0.378,0.197,0.08199999999999999,0.153,25,103,14,-17.2,3.7,1,2010
Vernon Wells,TOR,31,646,0.331,0.515,0.847,0.363,0.242,0.077,0.13,31,88,6,-5.3,3.7,1,2010
Victor Martinez,BOS,31,538,0.351,0.493,0.844,0.364,0.191,0.07400000000000001,0.09699999999999999,20,79,1,5.3,3.7,1,2010
Placido Polanco,PHI,34,602,0.339,0.386,0.726,0.322,0.088,0.053,0.078,6,52,5,17.2,3.6,0,2010
Cliff Pennington,OAK,26,576,0.319,0.368,0.687,0.308,0.118,0.087,0.16699999999999998,6,46,29,12.7,3.6,0,2010
Paul Konerko,CHW,34,631,0.393,0.584,0.977,0.417,0.272,0.114,0.174,39,111,0,-26.0,3.5,0,2010
David Wright,NYM,27,670,0.354,0.503,0.856,0.366,0.22,0.10300000000000001,0.24,29,103,19,-8.7,3.5,1,2010
Mark Teixeira,NYY,30,712,0.365,0.481,0.846,0.369,0.225,0.131,0.171,33,108,0,-13.6,3.5,1,2010
Andrew McCutchen,PIT,23,653,0.365,0.449,0.814,0.359,0.163,0.107,0.136,16,56,33,-11.3,3.4,0,2010
Ian Kinsler,TEX,28,460,0.382,0.412,0.794,0.355,0.125,0.122,0.124,9,45,15,4.9,3.4,0,2010
Drew Stubbs,CIN,25,583,0.329,0.444,0.773,0.338,0.189,0.094,0.28800000000000003,22,77,30,2.7,3.4,0,2010
Yorvit Torrealba,SDP,31,363,0.343,0.378,0.721,0.323,0.108,0.091,0.185,7,37,7,19.9,3.4,0,2010
Jonathan Lucroy,MIL,24,297,0.3,0.329,0.628,0.282,0.076,0.061,0.14800000000000002,4,26,4,35.9,3.4,0,2010
Carlos Ruiz,PHI,31,433,0.4,0.447,0.847,0.368,0.146,0.127,0.125,8,53,0,5.8,3.3,0,2010
Alex Rios,CHW,29,617,0.334,0.457,0.791,0.344,0.173,0.062,0.151,21,88,34,3.7,3.3,0,2010
Dustin Pedroia,BOS,26,351,0.367,0.493,0.86,0.373,0.205,0.105,0.10800000000000001,12,41,9,5.5,3.2,1,2010
Torii Hunter,LAA,34,646,0.354,0.464,0.819,0.357,0.183,0.094,0.16399999999999998,23,90,9,-4.4,3.2,0,2010
Shane Victorino,PHI,29,648,0.327,0.429,0.756,0.331,0.17,0.08199999999999999,0.122,18,69,34,3.5,3.2,0,2010
Jim Thome,MIN,39,340,0.412,0.627,1.039,0.439,0.344,0.17600000000000002,0.24100000000000002,25,59,0,-8.4,3.1,0,2010
Ryan Hanigan,CIN,29,243,0.405,0.429,0.834,0.369,0.128,0.136,0.086,5,40,0,17.0,3.1,0,2010
Coco Crisp,OAK,30,328,0.342,0.438,0.779,0.342,0.159,0.091,0.149,8,38,32,7.9,3.1,0,2010
Mark Ellis,OAK,33,492,0.358,0.381,0.739,0.329,0.089,0.081,0.114,5,49,7,8.7,3.1,0,2010
Russell Martin,LAD,27,387,0.347,0.332,0.679,0.306,0.085,0.124,0.158,5,26,6,21.5,3.1,0,2010
Adam Dunn,WSN,30,648,0.356,0.536,0.892,0.381,0.276,0.11900000000000001,0.307,38,103,0,-14.3,3.0,0,2010
