Name,Team,Age,PA,OBP,SLG,OPS,wOBA,ISO,BB%,K%,HR,RBI,SB,Def,WAR,All_Star,Year
Albert Pujols,STL,28,641,0.462,0.653,1.114,0.459,0.296,0.162,0.084,37,116,7,-1.0,8.7,1,2008
Brian McCann,ATL,24,573,0.373,0.523,0.896,0.386,0.222,0.099,0.11199999999999999,23,87,5,44.3,8.3,1,2008
Chase Utley,PHI,29,707,0.38,0.535,0.915,0.389,0.244,0.091,0.147,33,104,14,21.8,8.2,1,2008
Lance Berkman,HOU,32,665,0.42,0.567,0.986,0.417,0.255,0.149,0.162,29,106,18,1.6,7.7,1,2008
Hanley Ramirez,FLA,24,693,0.4,0.54,0.94,0.403,0.239,0.133,0.17600000000000002,33,67,35,7.6,7.4,1,2008
Grady Sizemore,CLE,25,745,0.374,0.502,0.876,0.376,0.233,0.132,0.174,33,90,38,10.1,7.4,0,2008
Russell Martin,LAD,25,650,0.385,0.396,0.781,0.35,0.116,0.138,0.128,13,69,18,41.1,7.3,0,2008
Carlos Beltran,NYM,31,706,0.376,0.5,0.876,0.375,0.216,0.13,0.136,27,112,25,14.8,7.2,1,2008
Chipper Jones,ATL,36,534,0.47,0.574,1.044,0.445,0.21,0.16899999999999998,0.114,22,75,4,4.6,7.1,1,2008
David Wright,NYM,25,736,0.39,0.534,0.924,0.396,0.232,0.128,0.16,33,124,15,8.2,7.0,0,2008
Mark Teixeira,- - -,28,685,0.41,0.552,0.962,0.41,0.244,0.142,0.136,33,121,2,1.7,6.9,0,2008
Joe Mauer,MIN,25,633,0.413,0.451,0.864,0.379,0.123,0.133,0.079,9,85,1,14.9,6.5,1,2008
Dustin Pedroia,BOS,24,726,0.376,0.493,0.869,0.377,0.167,0.069,0.07200000000000001,17,83,20,12.1,6.3,1,2008
Kevin Youkilis,BOS,29,621,0.39,0.569,0.958,0.406,0.257,0.1,0.174,29,115,3,2.5,6.2,0,2008
Nick Markakis,BAL,24,697,0.406,0.491,0.897,0.392,0.185,0.142,0.162,20,87,10,4.9,6.1,0,2008
Manny Ramirez,- - -,36,654,0.43,0.601,1.031,0.432,0.27,0.133,0.19,37,121,3,-14.4,5.9,1,2008
Matt Holliday,COL,28,623,0.409,0.538,0.947,0.409,0.217,0.11900000000000001,0.16699999999999998,25,88,28,-3.3,5.9,1,2008
Jose Reyes,NYM,25,763,0.358,0.475,0.833,0.359,0.179,0.087,0.107,16,68,56,8.9,5.9,0,2008
Alex Rodriguez,NYY,32,594,0.392,0.573,0.965,0.409,0.271,0.109,0.19699999999999998,35,103,18,-2.3,5.8,1,2008
Evan Longoria,TBR,22,508,0.343,0.531,0.874,0.37,0.259,0.091,0.24,27,85,7,17.9,5.6,0,2008
Alex Rios,TOR,27,687,0.337,0.461,0.798,0.346,0.17,0.064,0.163,15,79,32,18.2,5.5,0,2008
Ryan Ludwick,STL,29,617,0.375,0.591,0.966,0.408,0.292,0.1,0.237,37,113,4,-8.3,5.3,0,2008
Jayson Werth,PHI,29,482,0.363,0.498,0.861,0.374,0.225,0.11800000000000001,0.247,24,67,20,14.4,5.1,0,2008
Randy Winn,SFG,34,667,0.363,0.426,0.79,0.345,0.12,0.08800000000000001,0.132,10,64,25,14.7,5.1,0,2008
Jimmy Rollins,PHI,29,625,0.349,0.437,0.786,0.342,0.16,0.09300000000000001,0.08800000000000001,11,59,47,18.8,5.0,0,2008
Ian Kinsler,TEX,26,583,0.375,0.517,0.892,0.385,0.199,0.077,0.115,18,71,26,-3.0,4.8,0,2008
Troy Glaus,STL,31,637,0.372,0.483,0.856,0.373,0.213,0.13699999999999998,0.163,27,99,0,8.7,4.8,0,2008
Brian Roberts,BAL,30,704,0.378,0.45,0.828,0.364,0.154,0.11599999999999999,0.14800000000000002,9,57,40,1.2,4.8,0,2008
Melvin Upton Jr.,TBR,23,640,0.383,0.401,0.784,0.351,0.128,0.152,0.209,9,67,44,9.8,4.8,0,2008
Carlos Quentin,CHW,25,569,0.394,0.571,0.965,0.415,0.283,0.11599999999999999,0.141,36,100,7,-9.0,4.7,0,2008
Aramis Ramirez,CHC,30,645,0.38,0.518,0.898,0.386,0.229,0.115,0.146,27,111,2,-0.5,4.5,0,2008
Ryan Braun,MIL,24,663,0.335,0.553,0.888,0.376,0.268,0.063,0.195,37,106,14,-3.9,4.5,1,2008
Milton Bradley,TEX,30,510,0.436,0.563,0.999,0.424,0.242,0.157,0.22,22,77,5,-8.6,4.3,1,2008
Josh Hamilton,TEX,27,704,0.371,0.53,0.901,0.384,0.226,0.091,0.179,32,130,9,-16.1,4.3,1,2008
Mike Aviles,KCR,27,441,0.354,0.48,0.833,0.36,0.155,0.040999999999999995,0.132,10,51,8,14.6,4.3,0,2008
Shane Victorino,PHI,27,627,0.352,0.447,0.799,0.351,0.154,0.07200000000000001,0.11,14,58,36,7.1,4.3,0,2008
Ichiro Suzuki,SEA,34,749,0.361,0.386,0.747,0.328,0.076,0.068,0.087,6,42,43,4.9,4.3,1,2008
Dan Uggla,FLA,28,619,0.36,0.514,0.874,0.375,0.254,0.124,0.276,32,92,5,3.1,4.2,0,2008
Mark DeRosa,CHC,33,593,0.376,0.481,0.857,0.374,0.196,0.11599999999999999,0.179,21,87,6,2.5,4.2,0,2008
Jacoby Ellsbury,BOS,24,609,0.336,0.394,0.729,0.323,0.114,0.067,0.131,9,47,50,18.8,4.2,0,2008
J.D. Drew,BOS,32,456,0.408,0.519,0.927,0.4,0.239,0.17300000000000001,0.175,19,64,4,0.4,4.1,0,2008
Curtis Granderson,DET,27,629,0.365,0.494,0.858,0.373,0.213,0.113,0.17600000000000002,22,66,12,-9.0,4.1,0,2008
Brian Giles,SDP,37,653,0.398,0.456,0.854,0.377,0.15,0.133,0.08,12,63,2,-9.8,4.1,0,2008
Yadier Molina,STL,25,485,0.349,0.392,0.74,0.326,0.088,0.066,0.06,7,56,0,34.7,4.1,0,2008
J.J. Hardy,MIL,25,629,0.343,0.478,0.821,0.356,0.195,0.083,0.156,24,74,2,12.9,4.0,0,2008
Mike Cameron,MIL,35,508,0.331,0.477,0.809,0.351,0.234,0.106,0.28,25,70,17,13.9,4.0,0,2008
Aubrey Huff,BAL,31,661,0.36,0.552,0.912,0.387,0.247,0.08,0.135,32,108,4,-13.4,3.9,0,2008
Adrian Beltre,SEA,29,612,0.327,0.457,0.784,0.335,0.191,0.08199999999999999,0.147,25,77,8,13.3,3.9,0,2008
Alfonso Soriano,CHC,32,503,0.344,0.532,0.876,0.368,0.252,0.085,0.205,29,75,19,11.7,3.8,1,2008
Carlos Pena,TBR,30,607,0.377,0.494,0.871,0.376,0.247,0.158,0.273,31,102,1,-5.5,3.8,1,2008
Nate McLouth,PIT,26,685,0.356,0.497,0.853,0.364,0.221,0.095,0.136,26,94,23,-10.6,3.8,0,2008
Johnny Damon,NYY,34,623,0.375,0.461,0.836,0.369,0.159,0.10300000000000001,0.132,17,71,29,-5.7,3.7,0,2008
Jose Molina,NYY,33,297,0.263,0.313,0.576,0.258,0.097,0.04,0.175,3,18,0,46.7,3.7,0,2008
Joey Votto,CIN,24,589,0.368,0.506,0.874,0.375,0.209,0.1,0.17300000000000001,24,84,7,-0.1,3.6,0,2008
Cody Ross,FLA,27,506,0.316,0.488,0.804,0.344,0.228,0.065,0.22899999999999998,22,73,6,12.8,3.5,0,2008
Andre Ethier,LAD,26,596,0.375,0.51,0.885,0.383,0.206,0.099,0.14800000000000002,20,77,6,-14.3,3.4,0,2008
Derek Jeter,NYY,34,668,0.363,0.408,0.771,0.344,0.107,0.078,0.127,11,69,11,6.1,3.4,0,2008
Kurt Suzuki,OAK,24,588,0.346,0.37,0.716,0.322,0.091,0.075,0.11699999999999999,7,42,2,18.6,3.4,0,2008
Justin Morneau,MIN,27,712,0.374,0.499,0.873,0.371,0.199,0.107,0.11900000000000001,23,129,0,-13.9,3.3,1,2008
Kelly Shoppach,CLE,28,403,0.348,0.517,0.865,0.371,0.256,0.08900000000000001,0.33,21,55,0,4.7,3.3,0,2008
Jhonny Peralta,CLE,26,664,0.331,0.473,0.804,0.347,0.197,0.07200000000000001,0.19,23,89,3,5.7,3.3,0,2008
Matt Kemp,LAD,23,657,0.34,0.459,0.799,0.345,0.168,0.07,0.233,18,76,35,-3.1,3.3,0,2008
Orlando Cabrera,CHW,33,730,0.334,0.371,0.705,0.314,0.089,0.077,0.09699999999999999,8,57,19,22.1,3.3,0,2008
Chone Figgins,LAA,30,520,0.367,0.318,0.685,0.316,0.042,0.11900000000000001,0.154,1,22,34,13.3,3.3,0,2008
Shin-Soo Choo,CLE,25,370,0.397,0.549,0.946,0.404,0.24,0.11900000000000001,0.21100000000000002,14,66,4,-6.3,3.2,0,2008
Carlos Lee,HOU,32,481,0.368,0.569,0.937,0.396,0.255,0.077,0.102,28,100,4,-5.0,3.2,0,2008
Denard Span,MIN,24,411,0.387,0.432,0.819,0.363,0.138,0.122,0.146,6,47,18,2.4,3.2,0,2008
Mike Fontenot,CHC,28,284,0.395,0.514,0.909,0.394,0.21,0.12,0.18,9,40,2,6.4,3.1,0,2008
